n,k,h,alpha,gamma,nominal_r,effective_r,signal_label,signal,delta,I,D,R,signal_over_I,signal_over_D,signal_over_R,trials,trim_recovery_rate,detection_rate,overtrim_rate,undertrim_rate,adaptive_interlock_failure_rate,contamination_cost,contamination_cost_se,estimator,usable_trials,failure_rate,mean,bias,variance,mse,rmse,mse_se,benefit_vs_contaminated_hill,benefit_vs_contaminated_hill_se
50000,223,10,0.008542072972012553,0.5,5,5,1.5I,1.6961741893844349,1.40387298905695,1.1307827929229566,3.532668328430944,7.466592261534039,1.5,0.48013966545730064,0.2271684498057685,5000,0.0238,0.0304,0.0038,0.9724,0.0,5.9766608480630665e-05,7.186773137078514e-06,harmonic_moment_beta_0.5,5000,0.0,0.5042394261317596,0.004239426131759721,0.0011572895471188276,0.001175030823136051,0.03427872260070452,2.4479098411876983e-05,4.834780682965889e-07,8.03193954890709e-06
50000,223,10,0.008542072972012553,0.5,5,5,1.5I,1.6961741893844349,1.40387298905695,1.1307827929229566,3.532668328430944,7.466592261534039,1.5,0.48013966545730064,0.2271684498057685,5000,0.0238,0.0304,0.0038,0.9724,0.0,5.9766608480630665e-05,7.186773137078514e-06,harmonic_moment_beta_1,5000,0.0,0.5027826608297229,0.00278266082972286,0.0012535568704091346,0.0012610493603283266,0.03551125681144398,2.642892595593165e-05,-8.553505912397895e-05,1.333855273985595e-05
50000,223,10,0.008542072972012553,0.5,5,5,1.5I,1.6961741893844349,1.40387298905695,1.1307827929229566,3.532668328430944,7.466592261534039,1.5,0.48013966545730064,0.2271684498057685,5000,0.0238,0.0304,0.0038,0.9724,0.0,5.9766608480630665e-05,7.186773137078514e-06,harmonic_moment_beta_2,5000,0.0,0.50230443118497,0.0023044311849700484,0.0014913916448362115,0.0014964037695935066,0.038683378466642576,3.170333705989453e-05,-0.00032088946838915893,2.1576480907171312e-05
50000,223,10,0.008542072972012553,0.5,5,5,0.5D,1.766334164215472,1.4237109856041985,1.1307827929229566,3.532668328430944,7.466592261534039,1.5620454920875484,0.5,0.23656496864241144,5000,0.0336,0.0414,0.0044,0.962,0.0,6.889687560870125e-05,7.520267434350415e-06,hill,5000,0.0,0.5083095118558653,0.008309511855865264,0.0011267837399226606,0.0011956063704574413,0.0345775414171893,2.467337819767705e-05,0.0,0.0
50000,223,10,0.008542072972012553,0.5,5,5,0.5D,1.766334164215472,1.4237109856041985,1.1307827929229566,3.532668328430944,7.466592261534039,1.5620454920875484,0.5,0.23656496864241144,5000,0.0336,0.0414,0.0044,0.962,0.0,6.889687560870125e-05,7.520267434350415e-06,oracle_trimmed_hill,5000,0.0,0.5003028396409035,0.0003028396409034716,0.0011503184191533275,0.0011501800673175994,0.03391430475946101,2.3214998662624596e-05,4.542630313984197e-05,9.17376300652146e-06
50000,223,10,0.008542072972012553,0.5,5,5,0.5D,1.766334164215472,1.4237109856041985,1.1307827929229566,3.532668328430944,7.466592261534039,1.5620454920875484,0.5,0.23656496864241144,5000,0.0336,0.0414,0.0044,0.962,0.0,6.889687560870125e-05,7.520267434350415e-06,adaptive_trimmed_hill,5000,0.0,0.5076344717101904,0.007634471710190334,0.0011433873983580135,0.0012014438791720383,0.034661850486839826,2.4774868471534583e-05,-5.837508714597e-06,3.429450383455446e-06
50000,223,10,0.008542072972012553,0.5,5,5,0.5D,1.766334164215472,1.4237109856041985,1.1307827929229566,3.532668328430944,7.466592261534039,1.5620454920875484,0.5,0.23656496864241144,5000,0.0336,0.0414,0.0044,0.962,0.0,6.889687560870125e-05,7.520267434350415e-06,harmonic_moment_beta_0.5,5000,0.0,0.5044535865966991,0.004453586596699218,0.0011686214422769684,0.001188222151562812,0.03447059836386383,2.46262534482068e-05,7.384218894629345e-06,8.25453713235716e-06
50000,223,10,0.008542072972012553,0.5,5,5,0.5D,1.766334164215472,1.4237109856041985,1.1307827929229566,3.532668328430944,7.466592261534039,1.5620454920875484,0.5,0.23656496864241144,5000,0.0336,0.0414,0.0044,0.962,0.0,6.889687560870125e-05,7.520267434350415e-06,harmonic_moment_beta_1,5000,0.0,0.5028351924522334,0.0028351924522333994,0.0012685361138652313,0.0012763207228836597,0.035725631175441246,2.654258200247176e-05,-8.071435242621832e-05,1.3501375929276346e-05
50000,223,10,0.008542072972012553,0.5,5,5,0.5D,1.766334164215472,1.4237109856041985,1.1307827929229566,3.532668328430944,7.466592261534039,1.5620454920875484,0.5,0.23656496864241144,5000,0.0336,0.0414,0.0044,0.962,0.0,6.889687560870125e-05,7.520267434350415e-06,harmonic_moment_beta_2,5000,0.0,0.5022674919642321,0.0022674919642321836,0.0015151771860792355,0.001520015670449877,0.03898737834799715,3.189204561167592e-05,-0.0003244092999924358,2.1867860932477564e-05
50000,223,10,0.008542072972012553,0.5,5,5,1.5D,5.299002492646416,2.885795211446736,1.1307827929229566,3.532668328430944,7.466592261534039,4.686136476262645,1.5,0.7096949059272344,5000,0.9948,1.0,0.0052,0.0,0.0,0.0005637065623701949,2.2464130096869215e-05,hill,5000,0.0,0.5237425136742723,0.023742513674272193,0.0011171479751213435,0.0016806315010993217,0.04099550586465938,3.23706663072818e-05,0.0,0.0
